
 239324285 function calls (239312732 primitive calls) in 154.644 se

ed by: standard name

s  tottime  percall  cumtime  percall filename:lineno(function)
8    0.002    0.000    0.002    0.000 {method 'append' of 'list' ob
1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' obje
1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprofr' objects}
5    0.006    0.000    0.006    0.000 {method 'encode' of 'unicode'}
2    0.000    0.000    0.000    0.000 {method 'flush' of 'file' obj
6    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objec
2    0.000    0.000    0.000    0.000 {method 'index' of 'list' obj
5    0.000    0.000    0.000    0.000 {method 'items' of 'dict' obj
0    0.000    0.000    0.000    0.000 {method 'join' of 'unicode' o
0    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' obje
5    0.000    0.000    0.000    0.000 {method 'lower' of 'unicode' 
1    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_ objects}
5    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objec
4    0.053    0.000    0.053    0.000 {method 'random' of '_random.objects}
3    0.000    0.000    0.000    0.000 {method 'replace' of 'unicodes}
5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' obje
1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str'}
6    0.002    0.000    0.002    0.000 {method 'startswith' of 'unicects}
5    0.002    0.000    0.002    0.000 {method 'write' of 'file' obj
1    0.000    0.000    0.000    0.000 {open}
5    0.002    0.000    0.002    0.000 {repr}
0    5.248    0.000    5.248    0.000 {zip}
